prêt à l'usage;gotowy do użycia;2
perdre;tracić;1
jeter;rzucać;1
horaire;rozkład;2
chose;rzecz;1
truc;coś;1
quelqu'un;ktoś;1
sombre;ciemny;1
dessus;wierzch;2
chameau;wielbłąd;2
fumer;dymić;1
pompier;strażak;1
feuillet;kartka;1
quatorze;czternaście;2
disque;płyta;1
rapidement;szybko;1
enregistrement;wpis;1
loi;prawo;1
auteur;autor;1
entassement;nagromadzenie;2
prix;nagroda;1
vélo;rower;1
pente;spadek;1
graphique;wykres;2
tirer;oddać strzał;2
mot;słowo;1
dernier;ostatni;1
jeudi;czwartek;1
passer;przemijać;1
tout au contraire;wręcz przeciwnie;3
